,name,link,orgnr,info1,info2,info3
30,Vortek Group AB,https://kreditrapporten.se/kreditupplysning/5590667886/vortek-group-ab,5590667886,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-21 - <span title=""Företaget har postadress i Tyresö"">Tyresö</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Stockholms Kommun"">Stockholms Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  18 273 tkr - 2 anställda</div>"
31,Investment support Malmö AB,https://kreditrapporten.se/kreditupplysning/5591528160/investment-support-malmo-ab,5591528160,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-07 - <span title=""Företaget har postadress i Helsingborg"">Helsingborg</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Lunds Kommun"">Lunds Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  17 558 tkr - 5 anställda</div>"
32,Nordistic AB,https://kreditrapporten.se/kreditupplysning/5567401194/nordistic-ab,5567401194,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-20 - <span title=""Företaget har postadress i Göteborg"">Göteborg</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Göteborgs Kommun"">Göteborgs Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  16 957 tkr - 4 anställda</div>"
33,Meed gross nordic AB,https://kreditrapporten.se/kreditupplysning/5591155964/meed-gross-nordic-ab,5591155964,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-16 - <span title=""Företaget har postadress i Borås"">Borås</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Göteborgs Kommun"">Göteborgs Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  16 816 tkr - 2 anställda</div>"
34,Dryck STHLM AB,https://kreditrapporten.se/kreditupplysning/5568235518/dryck-sthlm-ab,5568235518,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-15 - <span title=""Företaget har postadress i Stockholm"">Stockholm</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Stockholms Kommun"">Stockholms Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  16 659 tkr - 6 anställda</div>"
35,Mycar Stockholm AB,https://kreditrapporten.se/kreditupplysning/5568970221/mycar-stockholm-ab,5568970221,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-17 - <span title=""Företaget har postadress i Täby"">Täby</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Täby Kommun"">Täby Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  16 186 tkr - 12 anställda</div>"
36,EcoSued AB,https://kreditrapporten.se/kreditupplysning/5567863880/ecosued-ab,5567863880,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-15 - <span title=""Företaget har postadress i Kungens Kurva"">Kungens Kurva</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Stockholms Kommun"">Stockholms Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  16 111 tkr - 25 anställda</div>"
37,Stockholm byggutveckling AB,https://kreditrapporten.se/kreditupplysning/5565745626/stockholm-byggutveckling-ab,5565745626,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-21 - <span title=""Företaget har postadress i Stockholm"">Stockholm</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Solna Kommun"">Solna Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  15 889 tkr - 16 anställda</div>"
38,J.V Byggställningar AB,https://kreditrapporten.se/kreditupplysning/5590308754/j-v-byggstallningar-ab,5590308754,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-15 - <span title=""Företaget har postadress i Stockholm"">Stockholm</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Stockholms Kommun"">Stockholms Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  14 987 tkr - 28 anställda</div>"
39,Apelryds Bygg AB,https://kreditrapporten.se/kreditupplysning/5569445744/apelryds-bygg-ab,5569445744,"<div style=""font-weight: bold; font-size: 13px; padding-top: 5px;"">I konkurs 2020-01-17 - <span title=""Företaget har postadress i Uddevalla"">Uddevalla</span></div>","<div style=""font-weight: 600; font-size: 13px; "">Säte: <span title=""Företaget har sitt säte i Uddevalla Kommun"">Uddevalla Kommun</span></div>","<div style=""font-weight: 600; font-size: 13px"">Omsättning  14 809 tkr - 11 anställda</div>"
